item|part|tier|name|rarity|vaulted
Akbolto Prime|Barrel|Lith|A3|Uncommon|Yes
Akbolto Prime|Barrel|Lith|V5|Uncommon|Yes
Akbolto Prime|Barrel|Lith|C2|Uncommon|Yes
Akbolto Prime|Barrel|Lith|O1|Uncommon|Yes
Akbolto Prime|Blueprint|Meso|D3|Common|Yes
Akbolto Prime|Blueprint|Axi|G2|Common|Yes
Akbolto Prime|Blueprint|Neo|M1|Common|Yes
Akbolto Prime|Blueprint|Neo|Z2|Common|Yes
Akbolto Prime|Blueprint|Neo|V7|Common|Yes
Akbolto Prime|Link|Axi|H4|Uncommon|Yes
Akbolto Prime|Link|Neo|K2|Uncommon|Yes
Akbolto Prime|Link|Neo|N8|Uncommon|Yes
Akbolto Prime|Link|Lith|W1|Uncommon|Yes
Akbolto Prime|Link|Meso|E2|Uncommon|Yes
Akbolto Prime|Link|Lith|S7|Uncommon|Yes
Akbolto Prime|Receiver|Neo|A2|Rare|Yes
Akbolto Prime|Receiver|Meso|A2|Rare|Yes
Akbolto Prime|Receiver|Axi|A4|Rare|Yes
Akbolto Prime|Receiver|Axi|A3|Rare|Yes
Akbronco Prime|Blueprint|Neo|T2|Common|No
Akbronco Prime|Blueprint|Axi|A10|Common|No
Akbronco Prime|Blueprint|Lith|T1|Common|Yes
Akbronco Prime|Blueprint|Lith|V5|Common|Yes
Akbronco Prime|Blueprint|Lith|S3|Common|Yes
Akbronco Prime|Blueprint|Neo|M2|Common|Yes
Akbronco Prime|Blueprint|Lith|Z2|Common|Yes
Akbronco Prime|Blueprint|Lith|Z1|Common|Yes
Akbronco Prime|Blueprint|Lith|S2|Common|Yes
Akbronco Prime|Blueprint|Meso|S3|Common|Yes
Akbronco Prime|Blueprint|Meso|O1|Common|Yes
Akbronco Prime|Link|Axi|C5|Uncommon|No
Akbronco Prime|Link|Meso|O2|Uncommon|Yes
Akbronco Prime|Link|Axi|L5|Uncommon|Yes
Akbronco Prime|Link|Lith|N1|Uncommon|Yes
Akbronco Prime|Link|Lith|S5|Uncommon|Yes
Akbronco Prime|Link|Axi|A9|Uncommon|Yes
Akbronco Prime|Link|Meso|R1|Uncommon|Yes
Akbronco Prime|Link|Axi|S1|Uncommon|Yes
Akbronco Prime|Link|Lith|A2|Uncommon|Yes
Akjagara Prime|Barrel|Neo|A3|Rare|No
Akjagara Prime|Barrel|Meso|A1|Rare|Yes
Akjagara Prime|Barrel|Lith|A3|Rare|Yes
Akjagara Prime|Blueprint|Neo|Z5|Common|No
Akjagara Prime|Blueprint|Axi|B4|Common|No
Akjagara Prime|Blueprint|Neo|S9|Common|Yes
Akjagara Prime|Blueprint|Lith|M4|Common|Yes
Akjagara Prime|Blueprint|Axi|P1|Common|Yes
Akjagara Prime|Blueprint|Meso|D4|Common|Yes
Akjagara Prime|Blueprint|Meso|R3|Common|Yes
Akjagara Prime|Link|Lith|P3|Uncommon|No
Akjagara Prime|Link|Meso|N9|Uncommon|No
Akjagara Prime|Link|Axi|R3|Uncommon|Yes
Akjagara Prime|Link|Meso|M2|Uncommon|Yes
Akjagara Prime|Link|Meso|Z3|Uncommon|Yes
Akjagara Prime|Receiver|Lith|M6|Uncommon|No
Akjagara Prime|Receiver|Neo|Z3|Uncommon|Yes
Akjagara Prime|Receiver|Neo|I1|Uncommon|Yes
Akjagara Prime|Receiver|Axi|L3|Uncommon|Yes
Akjagara Prime|Receiver|Neo|P1|Uncommon|Yes
Aklex Prime|Blueprint|Axi|A2|Uncommon|No
Aklex Prime|Blueprint|Neo|O1|Uncommon|No
Aklex Prime|Link|Axi|A2|Rare|No
Aksomati Prime|Barrel|Neo|Z5|Uncommon|No
Aksomati Prime|Blueprint|Neo|R4|Common|No
Aksomati Prime|Blueprint|Axi|B4|Common|No
Aksomati Prime|Blueprint|Meso|R2|Common|Yes
Aksomati Prime|Link|Axi|A10|Rare|No
Aksomati Prime|Link|Axi|A8|Rare|Yes
Aksomati Prime|Receiver|Axi|W1|Common|No
Aksomati Prime|Receiver|Axi|G4|Common|Yes
Aksomati Prime|Receiver|Axi|D2|Common|Yes
Akstiletto Prime|Barrel|Lith|H1|Uncommon|Yes
Akstiletto Prime|Barrel|Meso|K1|Uncommon|Yes
Akstiletto Prime|Barrel|Axi|A1|Uncommon|Yes
Akstiletto Prime|Barrel|Meso|V6|Common|Yes
Akstiletto Prime|Barrel|Axi|H2|Uncommon|Yes
Akstiletto Prime|Blueprint|Lith|A1|Rare|Yes
Akstiletto Prime|Blueprint|Lith|A2|Rare|Yes
